filepath,label
TACO_crops/Trash/crop_1208_3727.jpg,Trash
TACO_crops/Plastic/crop_386_1351.jpg,Plastic
TACO_crops/Metal/crop_1123_3450.jpg,Metal
TACO_crops/Trash/crop_460_1636.jpg,Trash
TACO_crops/Plastic/crop_394_1410.jpg,Plastic
TACO_crops/Trash/crop_611_1919.jpg,Trash
TACO_crops/Trash/crop_1246_3890.jpg,Trash
TACO_crops/Plastic/crop_1111_3398.jpg,Plastic
TACO_crops/Trash/crop_1328_4217.jpg,Trash
TACO_crops/Paper/crop_1353_4321.jpg,Paper
TACO_crops/Plastic/crop_600_1878.jpg,Plastic
TACO_crops/Trash/crop_1047_3203.jpg,Trash
TACO_crops/Plastic/crop_677_2176.jpg,Plastic
TACO_crops/Metal/crop_99_268.jpg,Metal
TACO_crops/Plastic/crop_1010_3012.jpg,Plastic
TACO_crops/Plastic/crop_1484_4714.jpg,Plastic
TACO_crops/Plastic/crop_362_1255.jpg,Plastic
TACO_crops/Plastic/crop_507_1709.jpg,Plastic
TACO_crops/Trash/crop_1429_4558.jpg,Trash
TACO_crops/Plastic/crop_1141_3498.jpg,Plastic
TACO_crops/Trash/crop_982_2954.jpg,Trash
TACO_crops/Metal/crop_46_124.jpg,Metal
TACO_crops/Cardboard/crop_795_2515.jpg,Cardboard
TACO_crops/Glass/crop_582_1822.jpg,Glass
TACO_crops/Plastic/crop_1172_3576.jpg,Plastic
TACO_crops/Glass/crop_758_2353.jpg,Glass
TACO_crops/Metal/crop_63_151.jpg,Metal
TACO_crops/Trash/crop_363_1269.jpg,Trash
TACO_crops/Plastic/crop_732_2306.jpg,Plastic
TACO_crops/Plastic/crop_862_2681.jpg,Plastic
TACO_crops/Glass/crop_112_382.jpg,Glass
TACO_crops/Metal/crop_719_2278.jpg,Metal
TACO_crops/Metal/crop_1408_4496.jpg,Metal
TACO_crops/Plastic/crop_751_2339.jpg,Plastic
TACO_crops/Metal/crop_1328_4210.jpg,Metal
TACO_crops/Plastic/crop_363_1276.jpg,Plastic
TACO_crops/Cardboard/crop_211_714.jpg,Cardboard
TACO_crops/Trash/crop_1228_3814.jpg,Trash
TACO_crops/Cardboard/crop_211_716.jpg,Cardboard
TACO_crops/Metal/crop_33_88.jpg,Metal
TACO_crops/Plastic/crop_948_2866.jpg,Plastic
TACO_crops/Trash/crop_616_1939.jpg,Trash
TACO_crops/Glass/crop_1493_4760.jpg,Glass
TACO_crops/Plastic/crop_385_1336.jpg,Plastic
TACO_crops/Plastic/crop_340_1121.jpg,Plastic
TACO_crops/Trash/crop_909_2817.jpg,Trash
TACO_crops/Plastic/crop_363_1290.jpg,Plastic
TACO_crops/Plastic/crop_788_2505.jpg,Plastic
TACO_crops/Metal/crop_580_1817.jpg,Metal
TACO_crops/Metal/crop_1314_4086.jpg,Metal
TACO_crops/Plastic/crop_1263_3927.jpg,Plastic
TACO_crops/Plastic/crop_254_802.jpg,Plastic
TACO_crops/Trash/crop_30_84.jpg,Trash
TACO_crops/Plastic/crop_1004_2994.jpg,Plastic
TACO_crops/Plastic/crop_1408_4501.jpg,Plastic
TACO_crops/Cardboard/crop_1213_3755.jpg,Cardboard
TACO_crops/Trash/crop_182_601.jpg,Trash
TACO_crops/Trash/crop_730_2452.jpg,Trash
TACO_crops/Trash/crop_296_899.jpg,Trash
TACO_crops/Plastic/crop_1064_3157.jpg,Plastic
TACO_crops/Glass/crop_1335_4254.jpg,Glass
TACO_crops/Metal/crop_1032_3071.jpg,Metal
TACO_crops/Plastic/crop_857_2659.jpg,Plastic
TACO_crops/Paper/crop_1217_3783.jpg,Paper
TACO_crops/Trash/crop_1484_4717.jpg,Trash
TACO_crops/Cardboard/crop_518_1725.jpg,Cardboard
TACO_crops/Metal/crop_89_234.jpg,Metal
TACO_crops/Plastic/crop_106_360.jpg,Plastic
TACO_crops/Plastic/crop_673_2164.jpg,Plastic
TACO_crops/Trash/crop_1145_3512.jpg,Trash
TACO_crops/Plastic/crop_484_1663.jpg,Plastic
TACO_crops/Metal/crop_614_1924.jpg,Metal
TACO_crops/Plastic/crop_703_2233.jpg,Plastic
TACO_crops/Plastic/crop_1111_3399.jpg,Plastic
TACO_crops/Plastic/crop_1187_3661.jpg,Plastic
TACO_crops/Plastic/crop_629_2011.jpg,Plastic
TACO_crops/Metal/crop_112_379.jpg,Metal
TACO_crops/Glass/crop_582_1823.jpg,Glass
TACO_crops/Trash/crop_713_2266.jpg,Trash
TACO_crops/Glass/crop_1321_4139.jpg,Glass
TACO_crops/Plastic/crop_1088_3263.jpg,Plastic
TACO_crops/Plastic/crop_461_1638.jpg,Plastic
